シーンナンバー,名前,会話の内容
1,アブラデール,"（今日は……金が……騒がしいな）"
2,アブラデール,（世界に……何か危機が……！？）
3,女神,アブラデール……光の石油王アブラデール……
4,アブラデール,その声は石油の女神殿か、何やらただ事ではないご様子だが
5,女神,"汝は気付きましたか、……世界を廻る大いなる力""マネーパワー""の解（ほつ）れに"
6,アブラデール,えぇ、女神殿。先ほどより懐で嫌な金騒ぎが。
7,女神,"闇のマネーパワーを操る悪しき存在、""闇の大石油王""が現れました。"
8,アブラデール,"真（まこと）か！？　奴らは1000年以上前に、""光の石油王""の手によって滅びたのでは"
9,女神,"復活したのです。根城は、汝の故国""タイクーン"""
10,アブラデール,タイクーン！　あの国は我が父上の庇護下のはず……
11,アブラデール,そうだ、父上は！？　父上はどうなった！？
12,女神,……残念ながら貴方の父君であるアブラウール王は、闇の大石油王の前に敗れました。
13,アブラデール,な、なんと……父上が！？
14,女神,落ち着くのです、アブラウール王の息子アブラデール。
15,アブラデール,はっ、これは失礼をした。
16,女神,闇の大石油王は、闇のマネーパワーによって人々の心を操り、その勢力を急速に広げています。
17,女神,この船にも、闇の大石油王に操られた人々が乗り込んでいます。
18,女神,対抗するには、神々の祝福を受けし光の石油王の力……聖なる金の力が必要です。
19,アブラデール,私のマネーパワーか
20,女神,えぇ、父君と同じ力が汝にも。
21,女神,"具体的には、画面を""タップ""すると、""聖なる札束""によるビンタを繰り出します。"
22,女神,これを敵に当てると、人々のココロを浄化し、闇のマネーパワーから解放することができます。
23,アブラデール,金による浄化（マネーロンダリング）だな
24,女神,"また""スワイプ操作""により自由に石油を生み出すことができます。"
25,女神,噴出した石油に乗って飛んだり、モノを動かしたりすることができます。
26,アブラデール,石油王ならば当然の能力だ。
27,女神,最後に、マネーパワーが尽きる時汝もまた石油王としての力を失う、金の切れ目が命の切れ目です。
28,アブラデール,心得た。
29,アブラデール,急ごう、時は金なりだ。この船を買い取ってタイクーンへ向かわせよう。
30,女神,汝に、金と石油の祝福を
